@RELATION TrainingDataset

@ATTRIBUTE state {Tamil_Nadu}
@ATTRIBUTE year REAL
@ATTRIBUTE crop {Apple,Arecanut,Arhar/Tur,Ash_Gourd,Bajra,Banana,Beans_&_Mutter(Vegetable),Beet_Root,Ber,Bhindi,Bitter_Gourd,Black_pepper,Bottle_Gourd,Brinjal,Cabbage,Cardamom,Carrot,Cashewnut,Castor_seed,Cauliflower,Citrus_Fruit,Coconut,Coriander,Cotton(lint),Cucumber,Drum_Stick,Dry_chillies,Dry_ginger,Garlic,Gram,Grapes,Groundnut,Guar_seed,Horse-gram,Jack_Fruit,Jowar,Korra,Lab-Lab,Litchi,Maize,Mango,Mesta,Moong(Green_Gram),Onion,Orange,Other_Cereals_&_Millets,Other_Citrus_Fruit,Other_Fresh_Fruits,Other_Kharif_pulses,Other_Vegetables,Papaya,Peach,Pear,Pineapple,Plums,Pome_Fruit,Pome_Granet,Potato,Pulses_total,Pump_Kin,Ragi,Rapeseed_&Mustard,Redish,Ribed_Guard,Rice,Samai,Sannhamp,Sesamum,Small_millets,Snak_Guard,Sugarcane,Sunflower,Sweet_potato,Tapioca,Tobacco,Tomato,Total_foodgrain,Turmeric,Turnip,Urad,Varagu,Water_Melon,Wheat,Yam}
@ATTRIBUTE area REAL
@ATTRIBUTE rainfall(in_mm) REAL
@ATTRIBUTE production(in_tones) Numeric

@DATA
Tamil_Nadu,2004,Banana,6102,1037.60,285671
Tamil_Nadu,2004,Cardamom,813,1037.60,63
Tamil_Nadu,2004,Cashewnut,292,1037.60,106
Tamil_Nadu,2004,Coconut,100160,1037.60,924200
Tamil_Nadu,2004,Coriander,1827,1037.60,1329
Tamil_Nadu,2004,Dry_chillies,1058,1037.60,469
Tamil_Nadu,2004,Onion,1878,1037.60,21165
Tamil_Nadu,2004,Sugarcane,5883,1037.60,679798
Tamil_Nadu,2004,Sweet_potato,2,1037.60,30
Tamil_Nadu,2004,Tapioca,579,1037.60,23894
Tamil_Nadu,2004,Turmeric,1822,1037.60,9686
Tamil_Nadu,2005,Arhar/Tur,365,1365.30,197
Tamil_Nadu,2005,Bajra,412,1365.30,745
Tamil_Nadu,2005,Castor_seed,486,1365.30,178
Tamil_Nadu,2005,Cotton(lint),6436,1365.30,5710
Tamil_Nadu,2005,Groundnut,22515,1365.30,30471
Tamil_Nadu,2005,Horse-gram,4261,1365.30,1837
Tamil_Nadu,2005,Jowar,77490,1365.30,28383
Tamil_Nadu,2005,Moong(Green_Gram),4456,1365.30,1579
Tamil_Nadu,2005,Other_Kharif_pulses,12666,1365.30,3077
Tamil_Nadu,2005,Ragi,69,1365.30,116
Tamil_Nadu,2005,Rice,7406,1365.30,20665
Tamil_Nadu,2005,Sesamum,1478,1365.30,715
Tamil_Nadu,2005,Small_millets,41,1365.30,28
Tamil_Nadu,2005,Sunflower,282,1365.30,350
Tamil_Nadu,2005,Urad,1863,1365.30,1302
Tamil_Nadu,2005,Gram,4500,1365.30,3335
Tamil_Nadu,2005,Arecanut,1556,1365.30,4469
Tamil_Nadu,2005,Banana,8056,1365.30,395585
Tamil_Nadu,2005,Black_pepper,128,1365.30,25
Tamil_Nadu,2005,Cardamom,869,1365.30,68
Tamil_Nadu,2005,Cashewnut,303,1365.30,115
Tamil_Nadu,2005,Coconut,101541,1365.30,10709
Tamil_Nadu,2005,Coriander,2086,1365.30,649
Tamil_Nadu,2005,Dry_chillies,1331,1365.30,756
Tamil_Nadu,2005,Onion,2366,1365.30,27499
Tamil_Nadu,2005,Sugarcane,8894,1365.30,1237716
Tamil_Nadu,2005,Tapioca,848,1365.30,32403
Tamil_Nadu,2005,Tobacco,327,1365.30,489
Tamil_Nadu,2005,Turmeric,2339,1365.30,17867
Tamil_Nadu,2006,Rice,6221,927.90,24009
